Age;Employ;Income;Debtinc;Creddebt;OthDebt;Education
28;7;44;17.7;2.99;4.8;Med
64;34;116;14.7;5.05;12;Posg
40;20;61;4.8;1.04;1.89;Bas
30;11;27;34.5;1.75;7.56;Bas
25;2;30;22.4;0.76;5.96;Bas
26;2;38;11.9;0.95;3.57;SupInc
25;4;30;14.4;1.05;3.27;Bas
65;29;189;5;3.36;6.09;SupCom
21;0;23;3.9;0.31;0.59;SupInc
62;33;96;17.5;6.69;10.11;Bas
30;4;39;10.6;2.39;1.74;SupCom
38;7;124;19.1;9.52;14.16;Posg
18;0;35;3.9;0.17;1.19;Med
53;9;41;13.3;2.33;3.12;Bas
18;0;15;7.4;0.83;0.28;Med
18;0;56;15.7;1.84;6.95;Med
19;2;31;0.3;0.02;0.07;Bas
19;0;26;5.8;0.59;0.92;Med
56;27;125;8.5;2.9;7.72;Med
21;1;40;7.6;1.52;1.52;Med
25;8;37;8.3;0.95;2.12;Bas
47;8;43;6.1;0.36;2.26;SupInc
40;17;103;13.3;10.41;3.29;SupCom
41;16;56;3.4;0.9;1.01;Med
23;0;118;6.4;0.29;7.26;SupCom
45;1;58;15.4;2.37;6.57;Posg
37;15;65;5;1.3;1.95;SupInc
47;23;46;11.7;0.84;4.54;Med
23;0;42;6.7;1.58;1.23;SupCom
18;0;19;5.2;0.32;0.67;Med
19;0;21;2;0.28;0.14;Med
41;3;23;10.6;0.15;2.29;Bas
42;3;76;5.2;0.72;3.23;Med
29;2;45;3;0.67;0.68;SupCom
24;0;41;8.4;0.79;2.66;SupCom
45;9;48;10.2;3.53;1.37;Posg
39;8;259;7.2;1.55;17.1;SupCom
40;15;46;10.6;0.82;4.06;Med
21;0;17;17.6;1.37;1.62;SupInc
55;34;150;9.9;0.73;14.12;SupInc
29;6;35;3.3;0.2;0.96;Med
22;0;24;5.2;0.28;0.97;SupInc
58;24;70;6.8;2.3;2.46;SupCom
53;14;67;6.1;1.06;3.02;Med
31;5;25;6.8;0.43;1.27;SupInc
26;4;23;6.9;0.17;1.42;Bas
